ID,Source file and JSON path,Group,Exact screen/card,English source,Complete intended meaning,Current Kannada,Literal meaning of current Kannada,Missing meaning,Added meaning,Grammar problem,Spelling problem,Word-order problem,Register problem,Punctuation problem,Fragment composition,Display/narration/both,Runtime consumer,Proposed complete Kannada display,Proposed complete Kannada narration,Names/numbers/acronyms preserved,Human approval status,Defective,Reviewer correction,Reviewer decision,Reviewer name,Review date
ui.status.thinking_title,backend/data/locales/ui.json#kn.status.thinking_title,1. Core UI,Chat status / orb — status.thinking_title,CLARA is thinking,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: CLARA is thinking",CLARA ಯೋಚಿಸುತ್ತಿದೆ,Working literal gloss: CLARA is thinking,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,both,frontend uiCopy → App/ChatScreen/ChatOrbControl,CLARA ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಪರಿಶೀಲಿಸುತ್ತಿದೆ,CLARA ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಪರಿಶೀಲಿಸುತ್ತಿದೆ.,YES,READY_FOR_NATIVE_REVIEW,YES,,,,
ui.status.thinking_detail_1,backend/data/locales/ui.json#kn.status.thinking_detail_1,1. Core UI,Chat status / orb — status.thinking_detail_1,Reading your question and gathering the right details...,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Reading your question and gathering the right details...",ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಓದಿ ಸರಿಯಾದ ಮಾಹಿತಿಯನ್ನು ಸಂಗ್ರಹಿಸುತ್ತಿದ್ದೇನೆ...,Working literal gloss: Reading your question and gathering the right details...,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,both,frontend uiCopy → App/ChatScreen/ChatOrbControl,"ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಪರಿಶೀಲಿಸಿ, ಸರಿಯಾದ ಮಾಹಿತಿಯನ್ನು ಸಂಗ್ರಹಿಸಲಾಗುತ್ತಿದೆ…","ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಪರಿಶೀಲಿಸಿ, ಸರಿಯಾದ ಮಾಹಿತಿಯನ್ನು ಸಂಗ್ರಹಿಸಲಾಗುತ್ತಿದೆ.",YES,READY_FOR_NATIVE_REVIEW,YES,,,,
ui.status.thinking_detail_2,backend/data/locales/ui.json#kn.status.thinking_detail_2,1. Core UI,Chat status / orb — status.thinking_detail_2,Cross-checking campus information so the answer stays accurate...,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Cross-checking campus information so the answer stays accurate...",ಉತ್ತರ ನಿಖರವಾಗಿರಲು ಮಾಹಿತಿಯನ್ನು ಪರಿಶೀಲಿಸುತ್ತಿದ್ದೇನೆ...,Working literal gloss: Cross-checking campus information so the answer stays accurate...,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,both,frontend uiCopy → App/ChatScreen/ChatOrbControl,ಉತ್ತರ ನಿಖರವಾಗಿರಲು ಕ್ಯಾಂಪಸ್ ಮಾಹಿತಿಯನ್ನು ಮರುಪರಿಶೀಲಿಸಲಾಗುತ್ತಿದೆ…,ಉತ್ತರ ನಿಖರವಾಗಿರಲು ಕ್ಯಾಂಪಸ್ ಮಾಹಿತಿಯನ್ನು ಮರುಪರಿಶೀಲಿಸಲಾಗುತ್ತಿದೆ.,YES,READY_FOR_NATIVE_REVIEW,YES,,,,
ui.status.thinking_detail_3,backend/data/locales/ui.json#kn.status.thinking_detail_3,1. Core UI,Chat status / orb — status.thinking_detail_3,Preparing a clear response for you...,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Preparing a clear response for you...",ನಿಮಗಾಗಿ ಸ್ಪಷ್ಟ ಉತ್ತರವನ್ನು ಸಿದ್ಧಪಡಿಸುತ್ತಿದ್ದೇನೆ...,Working literal gloss: Preparing a clear response for you...,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,both,frontend uiCopy → App/ChatScreen/ChatOrbControl,ನಿಮಗಾಗಿ ಸ್ಪಷ್ಟವಾದ ಉತ್ತರವನ್ನು ಸಿದ್ಧಪಡಿಸಲಾಗುತ್ತಿದೆ…,ನಿಮಗಾಗಿ ಸ್ಪಷ್ಟವಾದ ಉತ್ತರವನ್ನು ಸಿದ್ಧಪಡಿಸಲಾಗುತ್ತಿದೆ.,YES,READY_FOR_NATIVE_REVIEW,YES,,,,
ui.status.thinking_detail_4,backend/data/locales/ui.json#kn.status.thinking_detail_4,1. Core UI,Chat status / orb — status.thinking_detail_4,Connecting the relevant details from CLARA knowledge...,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Connecting the relevant details from CLARA knowledge...",CLARA ಜ್ಞಾನದಿಂದ ಸಂಬಂಧಿತ ಮಾಹಿತಿಯನ್ನು ಜೋಡಿಸುತ್ತಿದ್ದೇನೆ...,Working literal gloss: Connecting the relevant details from CLARA knowledge...,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,both,frontend uiCopy → App/ChatScreen/ChatOrbControl,CLARA ಯ ಜ್ಞಾನಸಂಗ್ರಹದಿಂದ ಸಂಬಂಧಿತ ವಿವರಗಳನ್ನು ಒಟ್ಟುಗೂಡಿಸಲಾಗುತ್ತಿದೆ…,CLARA ಯ ಜ್ಞಾನಸಂಗ್ರಹದಿಂದ ಸಂಬಂಧಿತ ವಿವರಗಳನ್ನು ಒಟ್ಟುಗೂಡಿಸಲಾಗುತ್ತಿದೆ.,YES,READY_FOR_NATIVE_REVIEW,YES,,,,
ui.status.thinking_detail_5,backend/data/locales/ui.json#kn.status.thinking_detail_5,1. Core UI,Chat status / orb — status.thinking_detail_5,Almost ready... preparing the best possible answer...,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Almost ready... preparing the best possible answer...",ಇನ್ನೇನು ಸಿದ್ಧ... ಅತ್ಯುತ್ತಮ ಉತ್ತರವನ್ನು ಸಿದ್ಧಪಡಿಸುತ್ತಿದ್ದೇನೆ...,Working literal gloss: Almost ready... preparing the best possible answer...,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,both,frontend uiCopy → App/ChatScreen/ChatOrbControl,ಉತ್ತರ ಇನ್ನೇನು ಸಿದ್ಧವಾಗಲಿದೆ…,ಉತ್ತರ ಇನ್ನೇನು ಸಿದ್ಧವಾಗಲಿದೆ.,YES,READY_FOR_NATIVE_REVIEW,YES,,,,
ui.status.reconnecting,backend/data/locales/ui.json#kn.status.reconnecting,1. Core UI,Chat status / orb — status.reconnecting,Reconnecting…,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Reconnecting…",ಮರುಸಂಪರ್ಕಿಸಲಾಗುತ್ತಿದೆ…,Working literal gloss: Reconnecting…,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,both,frontend uiCopy → App/ChatScreen/ChatOrbControl,ಮತ್ತೆ ಸಂಪರ್ಕಿಸಲು ಪ್ರಯತ್ನಿಸಲಾಗುತ್ತಿದೆ…,ಮತ್ತೆ ಸಂಪರ್ಕಿಸಲು ಪ್ರಯತ್ನಿಸಲಾಗುತ್ತಿದೆ.,YES,READY_FOR_NATIVE_REVIEW,YES,,,,
ui.status.connection_lost,backend/data/locales/ui.json#kn.status.connection_lost,1. Core UI,Chat status / orb — status.connection_lost,Connection lost.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Connection lost.",ಸಂಪರ್ಕ ಕಡಿತಗೊಂಡಿದೆ.,Working literal gloss: Connection lost.,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,both,frontend uiCopy → App/ChatScreen/ChatOrbControl,ಸಂಪರ್ಕ ಕಡಿತಗೊಂಡಿದೆ.,ಸಂಪರ್ಕ ಕಡಿತಗೊಂಡಿದೆ.,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.status.connectivity_issue,backend/data/locales/ui.json#kn.status.connectivity_issue,1. Core UI,Chat status / orb — status.connectivity_issue,The system is having connectivity problems.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: The system is having connectivity problems.",ವ್ಯವಸ್ಥೆಯಲ್ಲಿ ಸಂಪರ್ಕ ಸಮಸ್ಯೆಯಾಗಿದೆ.,Working literal gloss: The system is having connectivity problems.,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,both,frontend uiCopy → App/ChatScreen/ChatOrbControl,ವ್ಯವಸ್ಥೆಯ ಸಂಪರ್ಕದಲ್ಲಿ ಸಮಸ್ಯೆ ಉಂಟಾಗಿದೆ.,ವ್ಯವಸ್ಥೆಯ ಸಂಪರ್ಕದಲ್ಲಿ ಸಮಸ್ಯೆ ಉಂಟಾಗಿದೆ.,YES,READY_FOR_NATIVE_REVIEW,YES,,,,
ui.status.returning_to_sleep,backend/data/locales/ui.json#kn.status.returning_to_sleep,1. Core UI,Chat status / orb — status.returning_to_sleep,Returning to the sleep screen.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Returning to the sleep screen.",ನಿದ್ರಾ ಪರದೆಗೆ ಹಿಂತಿರುಗಲಾಗುತ್ತಿದೆ.,Working literal gloss: Returning to the sleep screen.,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,both,frontend uiCopy → App/ChatScreen/ChatOrbControl,ನಿದ್ರಾ ಪರದೆಗೆ ಹಿಂತಿರುಗಲಾಗುತ್ತಿದೆ.,ನಿದ್ರಾ ಪರದೆಗೆ ಹಿಂತಿರುಗಲಾಗುತ್ತಿದೆ.,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.clarification.general,backend/data/locales/ui.json#kn.clarification.general,3. Errors and clarifications,Clarification assistant turn — clarification.general,Please tell me a little more about the information you need.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Please tell me a little more about the information you need.",ನಿಮಗೆ ಯಾವ ಮಾಹಿತಿ ಬೇಕು ಎಂಬುದನ್ನು ದಯವಿಟ್ಟು ಸ್ವಲ್ಪ ವಿವರಿಸಿ.,Working literal gloss: Please tell me a little more about the information you need.,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,both,backend conversation templates/main → WebSocket → ChatScreen; TTS when emitted as assistant reply,ನಿಮಗೆ ಬೇಕಾದ ಮಾಹಿತಿಯ ಬಗ್ಗೆ ದಯವಿಟ್ಟು ಸ್ವಲ್ಪ ಹೆಚ್ಚು ವಿವರಿಸಿ.,ನಿಮಗೆ ಬೇಕಾದ ಮಾಹಿತಿಯ ಬಗ್ಗೆ ದಯವಿಟ್ಟು ಸ್ವಲ್ಪ ಹೆಚ್ಚು ವಿವರಿಸಿ.,YES,READY_FOR_NATIVE_REVIEW,YES,,,,
ui.clarification.department,backend/data/locales/ui.json#kn.clarification.department,3. Errors and clarifications,Clarification assistant turn — clarification.department,Which department would you like to know about?,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Which department would you like to know about?",ನೀವು ಯಾವ ವಿಭಾಗದ ಬಗ್ಗೆ ತಿಳಿಯಲು ಬಯಸುತ್ತೀರಿ?,Working literal gloss: Which department would you like to know about?,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,both,backend conversation templates/main → WebSocket → ChatScreen; TTS when emitted as assistant reply,ನೀವು ಯಾವ ವಿಭಾಗದ ಬಗ್ಗೆ ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?,ನೀವು ಯಾವ ವಿಭಾಗದ ಬಗ್ಗೆ ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?,YES,READY_FOR_NATIVE_REVIEW,YES,,,,
