ID,Screen/card,English source,Intended meaning,Current Kannada,Current literal meaning,Problem,Proposed Kannada display,Proposed Kannada narration,Names/numbers/acronyms preserved,Reviewer correction,Reviewer decision,Reviewer name,Review date
ui.status.thinking_title,Chat status / orb — status.thinking_title,CLARA is thinking,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: CLARA is thinking",CLARA ಯೋಚಿಸುತ್ತಿದೆ,Working literal gloss: CLARA is thinking,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,CLARA ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಪರಿಶೀಲಿಸುತ್ತಿದೆ,CLARA ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಪರಿಶೀಲಿಸುತ್ತಿದೆ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.status.thinking_detail_1,Chat status / orb — status.thinking_detail_1,Reading your question and gathering the right details...,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Reading your question and gathering the right details...",ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಓದಿ ಸರಿಯಾದ ಮಾಹಿತಿಯನ್ನು ಸಂಗ್ರಹಿಸುತ್ತಿದ್ದೇನೆ...,Working literal gloss: Reading your question and gathering the right details...,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,"ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಪರಿಶೀಲಿಸಿ, ಸರಿಯಾದ ಮಾಹಿತಿಯನ್ನು ಸಂಗ್ರಹಿಸಲಾಗುತ್ತಿದೆ…","ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಪರಿಶೀಲಿಸಿ, ಸರಿಯಾದ ಮಾಹಿತಿಯನ್ನು ಸಂಗ್ರಹಿಸಲಾಗುತ್ತಿದೆ.",YES,,READY_FOR_NATIVE_REVIEW,,
ui.status.thinking_detail_2,Chat status / orb — status.thinking_detail_2,Cross-checking campus information so the answer stays accurate...,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Cross-checking campus information so the answer stays accurate...",ಉತ್ತರ ನಿಖರವಾಗಿರಲು ಮಾಹಿತಿಯನ್ನು ಪರಿಶೀಲಿಸುತ್ತಿದ್ದೇನೆ...,Working literal gloss: Cross-checking campus information so the answer stays accurate...,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ಉತ್ತರ ನಿಖರವಾಗಿರಲು ಕ್ಯಾಂಪಸ್ ಮಾಹಿತಿಯನ್ನು ಮರುಪರಿಶೀಲಿಸಲಾಗುತ್ತಿದೆ…,ಉತ್ತರ ನಿಖರವಾಗಿರಲು ಕ್ಯಾಂಪಸ್ ಮಾಹಿತಿಯನ್ನು ಮರುಪರಿಶೀಲಿಸಲಾಗುತ್ತಿದೆ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.status.thinking_detail_3,Chat status / orb — status.thinking_detail_3,Preparing a clear response for you...,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Preparing a clear response for you...",ನಿಮಗಾಗಿ ಸ್ಪಷ್ಟ ಉತ್ತರವನ್ನು ಸಿದ್ಧಪಡಿಸುತ್ತಿದ್ದೇನೆ...,Working literal gloss: Preparing a clear response for you...,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ನಿಮಗಾಗಿ ಸ್ಪಷ್ಟವಾದ ಉತ್ತರವನ್ನು ಸಿದ್ಧಪಡಿಸಲಾಗುತ್ತಿದೆ…,ನಿಮಗಾಗಿ ಸ್ಪಷ್ಟವಾದ ಉತ್ತರವನ್ನು ಸಿದ್ಧಪಡಿಸಲಾಗುತ್ತಿದೆ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.status.thinking_detail_4,Chat status / orb — status.thinking_detail_4,Connecting the relevant details from CLARA knowledge...,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Connecting the relevant details from CLARA knowledge...",CLARA ಜ್ಞಾನದಿಂದ ಸಂಬಂಧಿತ ಮಾಹಿತಿಯನ್ನು ಜೋಡಿಸುತ್ತಿದ್ದೇನೆ...,Working literal gloss: Connecting the relevant details from CLARA knowledge...,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,CLARA ಯ ಜ್ಞಾನಸಂಗ್ರಹದಿಂದ ಸಂಬಂಧಿತ ವಿವರಗಳನ್ನು ಒಟ್ಟುಗೂಡಿಸಲಾಗುತ್ತಿದೆ…,CLARA ಯ ಜ್ಞಾನಸಂಗ್ರಹದಿಂದ ಸಂಬಂಧಿತ ವಿವರಗಳನ್ನು ಒಟ್ಟುಗೂಡಿಸಲಾಗುತ್ತಿದೆ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.status.thinking_detail_5,Chat status / orb — status.thinking_detail_5,Almost ready... preparing the best possible answer...,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Almost ready... preparing the best possible answer...",ಇನ್ನೇನು ಸಿದ್ಧ... ಅತ್ಯುತ್ತಮ ಉತ್ತರವನ್ನು ಸಿದ್ಧಪಡಿಸುತ್ತಿದ್ದೇನೆ...,Working literal gloss: Almost ready... preparing the best possible answer...,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ಉತ್ತರ ಇನ್ನೇನು ಸಿದ್ಧವಾಗಲಿದೆ…,ಉತ್ತರ ಇನ್ನೇನು ಸಿದ್ಧವಾಗಲಿದೆ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.status.reconnecting,Chat status / orb — status.reconnecting,Reconnecting…,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Reconnecting…",ಮರುಸಂಪರ್ಕಿಸಲಾಗುತ್ತಿದೆ…,Working literal gloss: Reconnecting…,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ಮತ್ತೆ ಸಂಪರ್ಕಿಸಲು ಪ್ರಯತ್ನಿಸಲಾಗುತ್ತಿದೆ…,ಮತ್ತೆ ಸಂಪರ್ಕಿಸಲು ಪ್ರಯತ್ನಿಸಲಾಗುತ್ತಿದೆ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.status.connection_lost,Chat status / orb — status.connection_lost,Connection lost.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Connection lost.",ಸಂಪರ್ಕ ಕಡಿತಗೊಂಡಿದೆ.,Working literal gloss: Connection lost.,No specific defect established by desk review; native-human sentence approval is still absent.,ಸಂಪರ್ಕ ಕಡಿತಗೊಂಡಿದೆ.,ಸಂಪರ್ಕ ಕಡಿತಗೊಂಡಿದೆ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.status.connectivity_issue,Chat status / orb — status.connectivity_issue,The system is having connectivity problems.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: The system is having connectivity problems.",ವ್ಯವಸ್ಥೆಯಲ್ಲಿ ಸಂಪರ್ಕ ಸಮಸ್ಯೆಯಾಗಿದೆ.,Working literal gloss: The system is having connectivity problems.,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ವ್ಯವಸ್ಥೆಯ ಸಂಪರ್ಕದಲ್ಲಿ ಸಮಸ್ಯೆ ಉಂಟಾಗಿದೆ.,ವ್ಯವಸ್ಥೆಯ ಸಂಪರ್ಕದಲ್ಲಿ ಸಮಸ್ಯೆ ಉಂಟಾಗಿದೆ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.status.returning_to_sleep,Chat status / orb — status.returning_to_sleep,Returning to the sleep screen.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Returning to the sleep screen.",ನಿದ್ರಾ ಪರದೆಗೆ ಹಿಂತಿರುಗಲಾಗುತ್ತಿದೆ.,Working literal gloss: Returning to the sleep screen.,No specific defect established by desk review; native-human sentence approval is still absent.,ನಿದ್ರಾ ಪರದೆಗೆ ಹಿಂತಿರುಗಲಾಗುತ್ತಿದೆ.,ನಿದ್ರಾ ಪರದೆಗೆ ಹಿಂತಿರುಗಲಾಗುತ್ತಿದೆ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.clarification.general,Clarification assistant turn — clarification.general,Please tell me a little more about the information you need.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Please tell me a little more about the information you need.",ನಿಮಗೆ ಯಾವ ಮಾಹಿತಿ ಬೇಕು ಎಂಬುದನ್ನು ದಯವಿಟ್ಟು ಸ್ವಲ್ಪ ವಿವರಿಸಿ.,Working literal gloss: Please tell me a little more about the information you need.,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ನಿಮಗೆ ಬೇಕಾದ ಮಾಹಿತಿಯ ಬಗ್ಗೆ ದಯವಿಟ್ಟು ಸ್ವಲ್ಪ ಹೆಚ್ಚು ವಿವರಿಸಿ.,ನಿಮಗೆ ಬೇಕಾದ ಮಾಹಿತಿಯ ಬಗ್ಗೆ ದಯವಿಟ್ಟು ಸ್ವಲ್ಪ ಹೆಚ್ಚು ವಿವರಿಸಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.clarification.department,Clarification assistant turn — clarification.department,Which department would you like to know about?,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Which department would you like to know about?",ನೀವು ಯಾವ ವಿಭಾಗದ ಬಗ್ಗೆ ತಿಳಿಯಲು ಬಯಸುತ್ತೀರಿ?,Working literal gloss: Which department would you like to know about?,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ನೀವು ಯಾವ ವಿಭಾಗದ ಬಗ್ಗೆ ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?,ನೀವು ಯಾವ ವಿಭಾಗದ ಬಗ್ಗೆ ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?,YES,,READY_FOR_NATIVE_REVIEW,,
ui.clarification.hostel,Clarification assistant turn — clarification.hostel,Would you like information about the girls’ hostel or the boys’ hostel?,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Would you like information about the girls’ hostel or the boys’ hostel?",ನಿಮಗೆ ಹುಡುಗಿಯರ ಹಾಸ್ಟೆಲ್ ಮಾಹಿತಿ ಬೇಕೇ ಅಥವಾ ಹುಡುಗರ ಹಾಸ್ಟೆಲ್ ಮಾಹಿತಿ ಬೇಕೇ?,Working literal gloss: Would you like information about the girls’ hostel or the boys’ hostel?,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ಬಾಲಕಿಯರ ಹಾಸ್ಟೆಲ್ ಅಥವಾ ಬಾಲಕರ ಹಾಸ್ಟೆಲ್ ಕುರಿತು ನಿಮಗೆ ಮಾಹಿತಿ ಬೇಕೇ?,ಬಾಲಕಿಯರ ಹಾಸ್ಟೆಲ್ ಅಥವಾ ಬಾಲಕರ ಹಾಸ್ಟೆಲ್ ಕುರಿತು ನಿಮಗೆ ಮಾಹಿತಿ ಬೇಕೇ?,YES,,READY_FOR_NATIVE_REVIEW,,
ui.clarification.small_talk,Clarification assistant turn — clarification.small_talk,I am here to help with campus questions. What would you like to know?,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: I am here to help with campus questions. What would you like to know?",ಕ್ಯಾಂಪಸ್‌ಗೆ ಸಂಬಂಧಿಸಿದ ಪ್ರಶ್ನೆಗಳಿಗೆ ಸಹಾಯ ಮಾಡಲು ನಾನು ಇಲ್ಲಿದ್ದೇನೆ. ನಿಮಗೆ ಯಾವ ಮಾಹಿತಿ ಬೇಕು?,Working literal gloss: I am here to help with campus questions. What would you like to know?,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ಕ್ಯಾಂಪಸ್‌ಗೆ ಸಂಬಂಧಿಸಿದ ಪ್ರಶ್ನೆಗಳಿಗೆ ಸಹಾಯ ಮಾಡಲು ನಾನು ಇಲ್ಲಿದ್ದೇನೆ. ನೀವು ಏನನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?,ಕ್ಯಾಂಪಸ್‌ಗೆ ಸಂಬಂಧಿಸಿದ ಪ್ರಶ್ನೆಗಳಿಗೆ ಸಹಾಯ ಮಾಡಲು ನಾನು ಇಲ್ಲಿದ್ದೇನೆ. ನೀವು ಏನನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?,YES,,READY_FOR_NATIVE_REVIEW,,
ui.clarification.hod_department,Clarification assistant turn — clarification.hod_department,Please specify the department whose Head of Department you would like to know about.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Please specify the department whose Head of Department you would like to know about.",ಯಾವ ವಿಭಾಗದ ವಿಭಾಗ ಮುಖ್ಯಸ್ಥರ ಬಗ್ಗೆ ತಿಳಿಯಬೇಕು ಎಂಬುದನ್ನು ದಯವಿಟ್ಟು ತಿಳಿಸಿ.,Working literal gloss: Please specify the department whose Head of Department you would like to know about.,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ನೀವು ಯಾವ ವಿಭಾಗದ ವಿಭಾಗ ಮುಖ್ಯಸ್ಥರ ಬಗ್ಗೆ ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?,ನೀವು ಯಾವ ವಿಭಾಗದ ವಿಭಾಗ ಮುಖ್ಯಸ್ಥರ ಬಗ್ಗೆ ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?,YES,,READY_FOR_NATIVE_REVIEW,,
ui.clarification.fees_department,Clarification assistant turn — clarification.fees_department,Please specify the department whose fee details you would like to view.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Please specify the department whose fee details you would like to view.",ಯಾವ ವಿಭಾಗದ ಶುಲ್ಕದ ವಿವರಗಳನ್ನು ನೋಡಬೇಕು ಎಂಬುದನ್ನು ದಯವಿಟ್ಟು ತಿಳಿಸಿ.,Working literal gloss: Please specify the department whose fee details you would like to view.,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ನೀವು ಯಾವ ವಿಭಾಗದ ಶುಲ್ಕದ ವಿವರಗಳನ್ನು ನೋಡಲು ಬಯಸುತ್ತೀರಿ?,ನೀವು ಯಾವ ವಿಭಾಗದ ಶುಲ್ಕದ ವಿವರಗಳನ್ನು ನೋಡಲು ಬಯಸುತ್ತೀರಿ?,YES,,READY_FOR_NATIVE_REVIEW,,
ui.error.retry,Error assistant turn / browser speech recovery — error.retry,Please try again.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Please try again.",ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,Working literal gloss: Please try again.,No specific defect established by desk review; native-human sentence approval is still absent.,ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.error.no_speech,Error assistant turn / browser speech recovery — error.no_speech,I could not hear you clearly. Please say your question again.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: I could not hear you clearly. Please say your question again.",ನಿಮ್ಮ ಮಾತು ಸ್ಪಷ್ಟವಾಗಿ ಕೇಳಿಸಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಪ್ರಶ್ನೆಯನ್ನು ಮತ್ತೆ ಹೇಳಿ.,Working literal gloss: I could not hear you clearly. Please say your question again.,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ನಿಮ್ಮ ಮಾತು ಸ್ಪಷ್ಟವಾಗಿ ಕೇಳಿಸಲಿಲ್ಲ. ದಯವಿಟ್ಟು ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಮತ್ತೆ ಹೇಳಿ.,ನಿಮ್ಮ ಮಾತು ಸ್ಪಷ್ಟವಾಗಿ ಕೇಳಿಸಲಿಲ್ಲ. ದಯವಿಟ್ಟು ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಮತ್ತೆ ಹೇಳಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.error.microphone_denied,Error assistant turn / browser speech recovery — error.microphone_denied,Microphone access was denied. Please allow microphone access or type your question.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Microphone access was denied. Please allow microphone access or type your question.",ಮೈಕ್ರೊಫೋನ್ ಬಳಸಲು ಅನುಮತಿ ದೊರೆತಿಲ್ಲ. ದಯವಿಟ್ಟು ಅನುಮತಿ ನೀಡಿ ಅಥವಾ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,Working literal gloss: Microphone access was denied. Please allow microphone access or type your question.,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ಮೈಕ್ರೊಫೋನ್ ಬಳಸುವ ಅನುಮತಿಯನ್ನು ನಿರಾಕರಿಸಲಾಗಿದೆ. ದಯವಿಟ್ಟು ಮೈಕ್ರೊಫೋನ್‌ಗೆ ಅನುಮತಿ ನೀಡಿ ಅಥವಾ ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,ಮೈಕ್ರೊಫೋನ್ ಬಳಸುವ ಅನುಮತಿಯನ್ನು ನಿರಾಕರಿಸಲಾಗಿದೆ. ದಯವಿಟ್ಟು ಮೈಕ್ರೊಫೋನ್‌ಗೆ ಅನುಮತಿ ನೀಡಿ ಅಥವಾ ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.error.microphone_missing,Error assistant turn / browser speech recovery — error.microphone_missing,No microphone was found. Please type your question.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: No microphone was found. Please type your question.",ಮೈಕ್ರೊಫೋನ್ ಕಂಡುಬಂದಿಲ್ಲ. ದಯವಿಟ್ಟು ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,Working literal gloss: No microphone was found. Please type your question.,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ಮೈಕ್ರೊಫೋನ್ ಕಂಡುಬಂದಿಲ್ಲ. ದಯವಿಟ್ಟು ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,ಮೈಕ್ರೊಫೋನ್ ಕಂಡುಬಂದಿಲ್ಲ. ದಯವಿಟ್ಟು ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
